lat,long
-33.8715,151.2006
48.2049,16.3662
53.9007,27.5709
50.8195,5.1863
-25.5026,-49.2908
52.2385,6.8706
22.2908,114.1501
45.8293,15.9793
50.0883,14.4124
55.6802,12.5892
63.8247,20.2559
49.4429,1.1003
50.9499,13.344
22.2908,114.1501
47.5636,19.0947
51.518,-0.0869
45.547,9.1241
33.6184,130.4109
54.7476,25.5025
52.2385,6.8706
-22.2665,166.4742
54.353,18.659
52.2385,6.8706
55.7483,37.6171
48.4636,19.1873
48.2049,16.3662
52.2385,6.8706
63.8247,20.2559
47.3989,8.4965
51.518,-0.0869
41.8874,-87.6318
-41.2734,173.3024
52.4141,-0.5216
45.5278,-73.6684
58.853259,5.732946
58.853259,5.732946
37.9842,23.7353
35.689198,51.388974
-29.1252,26.163
33.556,-7.5952
-25.5026,-49.2908
40.547244,-74.481348
32.853,-79.9876